Sale Date,Add Date,Case Number,Status,Final Judgment,Opening Bid,Assessed Value,Primary Plaintiff,Certificate Holder Name,Plaintiff Max Bid,Address,City,Zip,Parcel ID,My Bid
"10/22/2021","09/08/2021","292021CC049059A001HC","Accepting Proxy","0","0","0","VISTA PALMS COMMUNITY ASSOCIATION INC","VISTA PALMS COMMUNITY ASSOCIATION INC","HIDDEN","","","","",""
"10/22/2021","09/08/2021","292019CC060403A001HC","Accepting Proxy","0","0","0","Summerfield West Townhomes Association, Inc.","Summerfield West Townhomes Association, Inc.","HIDDEN","","","","",""
"10/22/2021","09/08/2021","292020CC040329A001HC","Accepting Proxy","0","0","0","Rivercrest Community Association, Inc.","Rivercrest Community Association, Inc.","HIDDEN","","","","",""
"10/25/2021","08/27/2021","292018CA010150A001HC","Accepting Proxy","0","0","0","QUICKEN LOANS INC","QUICKEN LOANS INC","HIDDEN","","","","",""
"10/25/2021","08/31/2021","292018CA002507A001HC","Accepting Proxy","0","0","0","MIDFIRST BANK","MIDFIRST BANK","HIDDEN","","","","",""
"10/25/2021","08/31/2021","292012CA017080A001HC","Accepting Proxy","0","0","0","U S BANK NA","U S BANK NA","HIDDEN","","","","",""
"10/25/2021","09/01/2021","292019CA002956A001HC","Accepting Proxy","0","0","0","REVERSE MORTGAGE FUNDING LLC","REVERSE MORTGAGE FUNDING LLC","HIDDEN","","","","",""
"10/25/2021","09/01/2021","292013CA005692A001HC","Accepting Proxy","0","0","0","U.S. Bank National Association","U.S. Bank National Association","HIDDEN","","","","",""
"10/26/2021","07/27/2021","292012CA003909A001HC","Accepting Proxy","0","0","0","WELLS FARGO BANK NA","WELLS FARGO BANK NA","HIDDEN","","","","",""
"10/26/2021","08/31/2021","292019CA000113A001HC","Accepting Proxy","0","0","0","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","","","","",""
"10/27/2021","09/03/2021","292021CC025414A001HC","Accepting Proxy","0","0","0","Renaissance Villas Condominium Association Inc","Renaissance Villas Condominium Association Inc","HIDDEN","","","","",""
"10/29/2021","09/01/2021","292018CA003311A001HC","Accepting Proxy","0","0","0","BANK OF NEW YORK MELLON ","BANK OF NEW YORK MELLON ","HIDDEN","","","","",""
"10/29/2021","09/09/2021","292020CC034075A001HC","Accepting Proxy","0","0","0","BAYWOOD AT OAK CREEK TOWNHOMES ASSOCIATION, INC.","BAYWOOD AT OAK CREEK TOWNHOMES ASSOCIATION, INC.","HIDDEN","","","","",""
"11/01/2021","09/01/2021","292017CA005229A001HC","Accepting Proxy","0","0","0","WILMINGTON TRUST NA","WILMINGTON TRUST NA","HIDDEN","","","","",""
"11/01/2021","09/03/2021","292020CA006372A001HC","Accepting Proxy","0","0","0","Pingora Loan Servicing Llc","Pingora Loan Servicing Llc","HIDDEN","","","","",""
"11/01/2021","09/08/2021","292019CA006436A001HC","Accepting Proxy","0","0","0","DITECH FINANCIAL LLC","DITECH FINANCIAL LLC","HIDDEN","","","","",""
"11/01/2021","09/09/2021","292010CA020071A001HC","Accepting Proxy","0","0","0","WILMINGTON SAVINGS FUND SOCIETY, FSB","WILMINGTON SAVINGS FUND SOCIETY, FSB","HIDDEN","","","","",""
"11/02/2021","08/05/2021","292018CA011187A001HC","Accepting Proxy","0","0","0","MID AMERICA MORTGAGE INC","MID AMERICA MORTGAGE INC","HIDDEN","","","","",""
"11/02/2021","09/02/2021","292017CA004296A001HC","Accepting Proxy","0","0","0","CITIBANK NA","CITIBANK NA","HIDDEN","","","","",""
"11/02/2021","09/03/2021","292019CA003724A001HC","Accepting Proxy","0","0","0","Nationstar Mortgage LLC","Nationstar Mortgage LLC","HIDDEN","","","","",""
"11/02/2021","09/03/2021","292018CA004902A001HC","Accepting Proxy","0","0","0","Nationstar Mortgage LLC","Nationstar Mortgage LLC","HIDDEN","","","","",""
"11/02/2021","09/08/2021","292018CA009910A001HC","Accepting Proxy","0","0","0","U.S. Bank National Association","U.S. Bank National Association","HIDDEN","","","","",""
"11/02/2021","09/08/2021","292020CA006946A001HC","Accepting Proxy","0","0","0","WINTRUST MORTGAGE A DIVISION OF BARRINGTON BANK & TRUST CO, NA","WINTRUST MORTGAGE A DIVISION OF BARRINGTON BANK & TRUST CO, NA","HIDDEN","","","","",""
"11/03/2021","08/03/2021","292019CA003312A001HC","Accepting Proxy","0","0","0","THE MONEY SOURCE INC","THE MONEY SOURCE INC","HIDDEN","","","","",""
"11/03/2021","08/06/2021","292019CA004554A001HC","Accepting Proxy","0","0","0","WELLS FARGO BANK, NATIONAL ASSOCIATIONAL ASSOCIATION","WELLS FARGO BANK, NATIONAL ASSOCIATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292020CA003025A001HC","Accepting Proxy","0","0","0","TVC Funding IV, LLC","TVC Funding IV, LLC","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292018CA009449A001HC","Accepting Proxy","0","0","0","FEDERAL NATIONAL MORTGAGE ASSOCIATON","FEDERAL NATIONAL MORTGAGE ASSOCIATON","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292019CA009530A001HC","Accepting Proxy","0","0","0","Nationstar Mortgage LLC","Nationstar Mortgage LLC","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292019CA002687A001HC","Accepting Proxy","0","0","0","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292014CA011759A001HC","Accepting Proxy","0","0","0","Citimortgage Inc","Citimortgage Inc","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292019CA004007A001HC","Accepting Proxy","0","0","0","DITECH FINANCIAL LLC","DITECH FINANCIAL LLC","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292014CA009978A001HC","Accepting Proxy","0","0","0","Matrix Financial Services Corporation","Matrix Financial Services Corporation","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292013CA000463A001HC","Accepting Proxy","0","0","0","U S BANK NATIONAL ASSOCIATION","U S BANK NATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292017CA007814A001HC","Accepting Proxy","0","0","0","BANK OF NEW YORK MELLON","BANK OF NEW YORK MELLON","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292012CA016283A001HC","Accepting Proxy","0","0","0","OCWEN LOAN SERVICING LLC","OCWEN LOAN SERVICING LLC","HIDDEN","","","","",""
"11/03/2021","09/08/2021","292009CA006259A001HC","Accepting Proxy","0","0","0","U.S BANK,NATIONAL ASSOCIATION, AS TRUSTEE UNDER THE POOLING AND SERVICING AGREEMENT DATED AS OF FEBRUARY 1, 2007, GSAMP TRUST 2007-NC1, MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2007-NC1","U.S BANK,NATIONAL ASSOCIATION, AS TRUSTEE UNDER THE POOLING AND SERVICING AGREEMENT DATED AS OF FEBRUARY 1, 2007, GSAMP TRUST 2007-NC1, MORTGAGE PASS-THROUGH CERTIFICATES, SERIES 2007-NC1","HIDDEN","","","","",""
"11/03/2021","09/10/2021","292012CA017358A001HC","Accepting Proxy","0","0","0","GMAC MORTGAGE LLC","GMAC MORTGAGE LLC","HIDDEN","","","","",""
"11/04/2021","07/27/2021","292018CA005009A001HC","Accepting Proxy","0","0","0","US BANK NATIONAL ASSOCIATION","US BANK NATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/04/2021","09/08/2021","292018CA012243A001HC","Accepting Proxy","0","0","0","U.S. BANK, NATIONAL ASSOCIATION","U.S. BANK, NATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/05/2021","09/08/2021","292014CA000854A001HC","Accepting Proxy","0","0","0","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","","","","",""
"11/05/2021","09/08/2021","292012CA006636A001HC","Accepting Proxy","0","0","0","FREEDOM MORTGAGE CORP","FREEDOM MORTGAGE CORP","HIDDEN","","","","",""
"11/05/2021","09/10/2021","292019CA010032A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"11/08/2021","09/08/2021","292021CA002528A001HC","Accepting Proxy","0","0","0","Freedom Mortgage Corporation","Freedom Mortgage Corporation","HIDDEN","","","","",""
"11/08/2021","09/08/2021","292007CA007053A001HC","Accepting Proxy","0","0","0","SAXON MORTGAGE SERVICES INC","SAXON MORTGAGE SERVICES INC","HIDDEN","","","","",""
"11/08/2021","09/09/2021","292019CA008984A001HC","Accepting Proxy","0","0","0","UNITED STATES OF AMERICA ACTING THROUGH RURAL HOUSING SERVICE","UNITED STATES OF AMERICA ACTING THROUGH RURAL HOUSING SERVICE","HIDDEN","","","","",""
"11/08/2021","09/10/2021","292018CA011444A001HC","Accepting Proxy","0","0","0","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","","","","",""
"11/08/2021","09/10/2021","292020CA000072A001HC","Accepting Proxy","0","0","0","Wells Fargo Bank NA","Wells Fargo Bank NA","HIDDEN","","","","",""
"11/08/2021","09/10/2021","292019CA003817A001HC","Accepting Proxy","0","0","0","U.S. BANK TRUST, N.A.","U.S. BANK TRUST, N.A.","HIDDEN","","","","",""
"11/09/2021","08/17/2021","292019CA007839A001HC","Accepting Proxy","0","0","0","US BANK NATIONAL ASSOCIATION","US BANK NATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/12/2021","09/01/2021","292021CC008848A001HC","Accepting Proxy","0","0","0","WELLINGTON NORTH AT BAY PARK HOMEOWNERS ASSOC","WELLINGTON NORTH AT BAY PARK HOMEOWNERS ASSOC","HIDDEN","","","","",""
"11/15/2021","06/01/2021","292018CA008788A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC ","NATIONSTAR MORTGAGE LLC ","HIDDEN","","","","",""
"11/17/2021","09/01/2021","292019CA009442A001HC","Accepting Proxy","0","0","0","Pingora Loan Servicing, LLC","Pingora Loan Servicing, LLC","HIDDEN","","","","",""
"11/18/2021","07/13/2021","292018CA003997A001HC","Accepting Proxy","0","0","0","Deutsche Bank Trust Company Americas ","Deutsche Bank Trust Company Americas ","HIDDEN","","","","",""
"11/18/2021","08/20/2021","292014CA006895A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""
"11/23/2021","08/31/2021","292013CA009153A001HC","Accepting Proxy","0","0","0","U.S. BANK NA","U.S. BANK NA","HIDDEN","","","","",""
"11/23/2021","09/01/2021","292013CA000498A001HC","Accepting Proxy","0","0","0","BANK OF AMERICA NA","BANK OF AMERICA NA","HIDDEN","","","","",""
"11/23/2021","09/01/2021","292017CA007136A001HC","Accepting Proxy","0","0","0","DEUTSCHE BANK NATIONAL TRUST COMPANY","DEUTSCHE BANK NATIONAL TRUST COMPANY","HIDDEN","","","","",""
"11/24/2021","07/27/2021","292020CA002259A001HC","Accepting Proxy","0","0","0","US BANK TRUST NATIONAL ASSOCIATION","US BANK TRUST NATIONAL ASSOCIATION","HIDDEN","","","","",""
"11/24/2021","09/01/2021","292020CA009314A001HC","Accepting Proxy","0","0","0","Wilmington Savings Fund Society, FSB","Wilmington Savings Fund Society, FSB","HIDDEN","","","","",""
"11/30/2021","09/10/2021","292018CA002361A001HC","Accepting Proxy","0","0","0","LAKEVIEW LOAN SERVICING LLC","LAKEVIEW LOAN SERVICING LLC","HIDDEN","","","","",""
"12/02/2021","08/24/2021","292020CA002247A001HC","Accepting Proxy","0","0","0","REGIONS BANK","REGIONS BANK","HIDDEN","","","","",""
"12/07/2021","08/11/2021","292018CA003822A001HC","Accepting Proxy","0","0","0","U.S. Bank, NA ","U.S. Bank, NA ","HIDDEN","","","","",""
"12/09/2021","07/14/2021","292018CA009441A001HC","Accepting Proxy","0","0","0","NATIONSTAR MORTGAGE LLC","NATIONSTAR MORTGAGE LLC","HIDDEN","","","","",""










